drugbankID,Result
DB12645,CCN(CC)CC1=CC2=C(C=C1)C=C(C=C2)COC(=O)NC3=CC=C(C=C3)C(=O)NO
DB01174,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
DB00499,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
DB02998,CC1(CCC2C1(C=CC3=C4CCC(=O)C=C4CCC23)C)O
DB00262,C(CCl)NC(=O)N(CCCl)N=O
DB03010,CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C
DB13108,CC1=CC=C(C=C1)C(=O)C(C)NC
DB12093,COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC
DB14085,[Cd]
DB01259,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
DB00135,C1=CC(=CC=C1CC(C(=O)O)N)O
DB01200,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
DB11875,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43
DB04115,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
DB12480,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
DB08818,CC(=O)NC1C(C(C(OC1O)CO)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)NC(=O)C)O)O
DB00753,C(C(F)(F)F)(OC(F)F)Cl
DB00227,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
DB04485,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
DB09069,COC1=C(C(=C(C=C1)CN2CCNCC2)OC)OC
DB00160,CC(C(=O)O)N
DB01189,C(C(F)(F)F)(OC(F)F)F
DB05767,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O
DB01356,[Li+]
DB00641,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
DB00481,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O
DB00356,C1=CC2=C(C=C1Cl)NC(=O)O2
DB00758,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
DB03285,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
DB01005,C(=O)(N)NO
DB08889,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4
DB09570,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O
DB00139,C(CC(=O)O)C(=O)O
DB00143,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
DB00822,CCN(CC)C(=S)SSC(=S)N(CC)CC
DB00368,C1=CC(=C(C=C1C(CN)O)O)O
DB00734,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
DB00945,CC(=O)OC1=CC=CC=C1C(=O)O
DB06774,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
